ticker,as_of,float_M,os_M,under_20M,confidence,basis,note
ALTS,2025-05-23,15.4,16.08,true,medium,10-Q balance sheet,"ALT5 Sigma. Current common O/S 16,078,647 (10-Q balance sheet 2025-03-29; wtd-av"
ALZN,2025-05-13,6.4,6.6,true,high,DEF 14A cover / 10-Q,"Alzamend Neuro. Common O/S 6,597,507 (proxy record date; 5.80M at 10-Q). Ault/Hy"
ANGI,2025-05-07,47.11,47.95,false,high,DEF14A 2025-04-30 + 10-Q 2025-05-06,"Class A O/S 47.95M (post IAC spin-off + reverse split; no Class B left); excl D&O group 0.84M (1.7%); Barry Diller 7% (<20%, not Angi director) kept; passive funds kept. Float ~47.1M >>20M. (No DT anchor.)"
ARAI,2025-05-28,4.86,29.98,true,high,424B4 direct-listing cover,"Arrive AI direct listing on Nasdaq; 424B4 (5/15) registers 29,978,212 = 100% of "
AREN,2025-05-19,9.61,47.56,true,medium,DEF14A + 10-Q current O/S,"Arena Group. Current O/S 47,560,952 from 10-Q filed 5/15. Exclude Simplify Inven"
ARKR,2025-05-05,2.36,3.6,true,high,DEF14A cover (10-Q matches),"Ark Restaurants. O/S 3,604,157 (proxy and 10-Q agree). D&O group 1,309,569 incl "
ARQQ,2025-05-16,6.53,12.75,true,med,20-F 2024-12-05 (Item 7) + 13D/A 2025-02-10 O/S,"Ordinary O/S 12.75M (13D/A Jan-27-2025; trades ORDINARY directly NOT ADS - false ADS flag; post 1-for-25 reverse split); excl D&O group 6.22M incl director Manfredi/Heritage 5.79M (40% control); founders Williams/Bestwick fell <5% (kept, dispersed). Float ~6.5M under 20M."
ARRY,2025-05-13,151.8,152.5,false,high,DEF14A cover,"Array Technologies. O/S 152,512,805 (Mar 31 2025). D&O group only 688,209 (<1%)."
ASMB,2025-05-02,5.02,7.64,true,high,DEF14A 2025-04-23 + 10-K 2025-03-20,"Common O/S 7.64M (proxy Apr-8-2025, post 1-for-12 reverse split); excl Gilead 2.21M (28.9%, control - 2 board designees) + D&O group 0.41M; KEPT Schornstein 0.73M (9.5% passive 13G). Float ~5.0M under 20M. DT os 20.7M is later 2026 dilution (>2x gap explained)."
ASPI,2025-05-19,57.4,72.07,false,high,10-K cover current O/S,"ASP Isotopes. Proxy O/S (68.4M, Sep 2024) is stale; current O/S 72,068,059 from "
ASST,2025-05-08,12.90,13.41,true,high,10-K 2025-03-31,"Class B (traded class) O/S 13,413,162 as of 2025-03-25; excluded D&O-group Class B 510,689 (incl AEH control holdco 250k Class B); Class A 1.0M super-voting all held by AEH excluded from traded-class float; DT 78.78M reflects later heavy dilution."
AVAH,2025-05-08,50.8,195.09,false,high,DEF14A + 10-Q current O/S,"Aveanna Healthcare. O/S 195,093,866 (10-Q same day). Exclude PE sponsors Bain Ca"
BBAI,2025-05-27,287.0,291.19,false,high,DEF14A cover,"BigBear.ai. O/S 291,188,805 (Apr 28 2025 proxy; 10-Q ~289M). Sponsor AE Industri"
BCRX,2025-05-05,198.0,209.21,false,high,DEF14A cover,"BioCryst Pharmaceuticals. O/S 209,207,928 (Apr 14 2025). All 5% holders passive "
BIYA,2025-05-07,2.50,12.50,true,high,424B4 2025-03-24 IPO,"Fresh China (Cayman) IPO closed 2025-03-24: 2,500,000 ordinary offered at $4.00; post-IPO O/S 12,500,000; float=public offering 2.5M; pre-IPO 10M held by founder Daoning Xia (58.7%) + officers + BVI 'International Group Ltd' SPV ladder, all excluded; DT os 15.11M is post-as_of dilution."
BKKT,2025-05-13,5.77,6.73,true,med,10-Q 2025-05-12 cover + DEF14A 2025-04-28,"Up-C de-SPAC; traded Class A O/S 6,734,323 as of 2025-05-09; excluded D&O-group Class A 311,473 and ICE control-affiliate Class A 649,934 (ICE holds 94.78% paired Class V + voting agmt, 54.4% vote); Highbridge 692k is warrant-exercisable not outstanding Class A so not subtracted; Class V 7.18M is separate non-traded class; DT 47.87M reflects later massive crypto-treasury dilution."
BMBL,2025-05-08,73.98,105.55,false,high,10-K 2025-02-28 cover + DEF14A 2025-04-17,"Up-C; traded Class A O/S 105,545,584 (as of 2025-01-31); excluded Stockholders-Agreement control group Class A 31,042,819 (Blackstone 30.12M w/ board seats + founder Wolfe Herd 0.93M) and remaining D&O Class A 0.518M; kept passive Vanguard 10.2M, BlackRock 9.9M, Ameriprise 6.4M (13G); Common Units exchangeable into Class A are NOT in the 105.5M and not subtracted."
BMGL,2025-05-14,6.05,18.79,true,med,424B4 2025-02-25 IPO,"Basel Medical (BVI) fresh IPO Feb-2025; post-IPO O/S 18,785,750 (incl 330,750 over-allotment, matches DT); excluded control affiliate Rainforest Capital VCC 10,174,579 (55.1%, AIP/Mengli Chen) + D&O group 29,412 + 3 >5% holders Meng/Yip/Tan 2,534,090 sharing the controller's Singapore address (Yip also related-party lessor); ~3.5M unnamed pre-IPO holders + 2.5M public offering left as float; DT float 8.58M = O/S minus Rainforest only (treats the 3 as independent) - alt read."
BNGO,2025-05-14,1.84,1.8654,true,high,10-Q 2025-05-14 cover (current O/S); DEF 14A 2025-04-28 table,"Bionano Genomics, post reverse-split nano-cap. Current 10-Q O/S=1,865,400. D&O g"
BOSC,2025-05-29,5.70,5.92,true,high,20-F 2025-03-31,"Israeli 20-F filer trading ordinary shares directly (ADS flag is FALSE POSITIVE, no division); O/S 5,923,559 as of 2025-03-15; excluded D&O group (6 persons) shares+options ~227,708; KEPT Todd Felte 458,118 (8.0%, passive 13G/A); no offering in filings <= as_of; DT os 7.05M reflects later-2025 raise."
BSGM,2025-05-23,20.9,24.2525,false,medium,10-K 2025-04-15 ownership (as of Apr 14 2025); 10-Q 2025-05-19 cover O/S 24.248M,"BioSig Technologies, recapitalized to BTC-treasury; O/S grew 17.1M->24.25M. Excl"
BUJA,2025-05-05,2.93,4.94,true,high,10-K 2025-04-15,"SPAC (Bukit Jalil Global Acq 1); O/S 4,941,322 as of 2025-04-11 = 2,011,807 non-redeemable (sponsor 1,861,807 + D&O 23,000 + private) + 2,929,515 public shares subject to redemption; SPAC float = public redeemable shares 2,929,515; sponsor (Chyi Chyi Ooi) & D&O excluded; pending business combination (425s) not yet closed."
CFSB,2025-05-20,2.64,6.548575,true,high,10-Q 2025-05-14 cover (O/S 6.549M); DEF 14A 2024-10-15 table,"CFSB Bancorp MHC structure. Current O/S=6,548,575. Exclude 15 Beach, MHC 3,586,9"
CINT,2025-05-14,21.63,22.50,false,med,20-F 2025-03-28 + Q1 6-K 2025-05-13,"CI&T Brazil dual-class; CINT trades Class A common shares DIRECTLY on NYSE (ADS flag FALSE POSITIVE, no division); Class A outstanding 22,498,572 (20-F report date; Q1 buyback of 1.08M into treasury nets it toward ~22.04M, float then ~21.2M); excluded insiders Gon 66,392 + Martins 82,196 + Guicardi 85,775 + other O&D 75,282 + Advent control 556,699 (=866,344 Class A); KEPT passive T.Rowe 3.86M, BW Gestao 2.60M, WCM 1.45M, Brasil Capital 1.15M; Class B 112M non-traded super-voting; float ~21.6M just above 20M."
CLGN,2025-05-29,11.04,11.45,true,med,20-F 2025-03-26,"CollPlant (Israel) trades ordinary shares directly on Nasdaq (ADSs cancelled 1-for-1, ADS flag FALSE POSITIVE, no division); O/S 11,454,512 as of 2025-03-15; excluded D&O group ex-options actual shares 410,566 (Evans 377,429 + Tal 31,137 + Bensimon 2,000; rest hold only options); KEPT Ami Sagy 1,943,184 (17%, individual, no board seat/13D, below 20%) and Loewenbaum 1,449,079 (12.7% passive 13G); DT os 14.42M reflects later F-3/S-8 dilution. Alt: if Sagy excluded as affiliate, float ~9.1M (still <20M)."
CMCL,2025-05-19,16.59,19.29,true,med,20-F 2025-05-16 acc=0001171843-25-003266 Item6/7,"O/S 19.29M (19,294,784) per 20-F Item7 geographic register; excluded D&O group 2.70M (14.0%, includes director Gapare's Toziyana 2.41M block); kept Shining Capital 9.97% and Allan Gray 5.72% (both <20%, non-control); trades ordinary on NYSE American, no ADS division."
CMCT,2025-05-02,0.70,0.75,true,med,10-K/A 2025-04-29 acc=0000908311-25-000030 cover+PartIII,"O/S 754,607 (0.75M) common per 10-K/A cover as of Apr 14 2025, post SERIAL reverse splits (1:10 Jan 6 2025 + 1:25 Apr 15 2025); excluded D&O group 51,388 (6.8%, incl all CIM founder/affiliate common blocks Ressler/Shemesh/Kuba); no external >20% holder. DT 2.64M is stale/pre-April-split."
CNCK,2025-05-22,6.70,129.70,true,med,20-F 2024-12-16 acc=0001213900-24-109398 ownership; XBRL 3/31/25 130.8M,"O/S 129,703,076 ordinary per 20-F (only O/S filing <=as_of; XBRL shows 130.8M at 3/31/25); de-SPAC (Coincheck/Thunder Bridge IV); excluded Monex Group parent 109.10M (84.1%), co-founder Koichiro Wada 9.70M (7.5%), D&O group/Simanson-TBCP 4.20M; float clearly <20M. DT float 12.18 uses later O/S 135.17M."
CPS,2025-05-02,15.94,17.548147,true,high,10-Q 2025-05-02 cover; DEF 14A 2025-04-03 table,"Cooper-Standard Holdings. Current O/S=17,548,147. Exclude D&O group 1,603,248 in"
CREV,2025-05-15,1.69,1.89,true,med,20-F 2025-05-14 acc=0001140361-25-018960 (FYE Jun30 2024) Item7,"O/S 1,885,184 ordinary (20-F cover, June FY-end; OIC dilution is unexercised penny warrants 56% fully-diluted NOT in basic O/S); excluded D&O group 56,587 (3.0%) and Twin Ridge SPAC sponsor Daniel Hennessy 134,000 (7.1%); post-10:1 consolidation reflected; matches DT 1.67M."
CUPR,2025-05-02,3.00,6.92,true,med,424B4 2025-04-10 acc=0001641172-25-003511 + 6-K close 4/11 acc=0001641172-25-003758,"Fresh dual-class IPO (priced 4/10, closed 4/11 2025); ticker=Class A; Class A O/S 6,915,000 (3.915M pre-IPO + 3.0M IPO, no greenshoe exercised); float = 3.0M public IPO offering (D&O+Cuprina Holding SPV hold only Class B 14.085M; pre-IPO 3.915M Class A are locked-up early investors, excluded). DT 2.68/0.92 divergent."
CURI,2025-05-07,30.5,56.93,false,high,DEF 14A cover + 10-Q,"CuriosityStream NORMAL single-class. O/S=56,930,262 (DEF 14A + 10-Q 2025-05-06)."
DBRG,2025-05-15,,176.12,false,high,10-Q 2025-05-01 acc=0001679688-25-000043 cover + DEF14A 2025-04-17,"Class A (ticker) O/S 176,116,333 per 10-Q cover; widely-held large-cap, D&O group only 6.37M (3.38%); 5% holders Vanguard 9.7%/Wafra 9.7%/BlackRock 6.9% all passive 13G <20% kept; no control block; float ~169.7M, far over 20M."
DDC,2025-05-29,3.71,4.65,true,med,6-K 2025-05-16 acc=0001213900-25-044621 (current O/S post-split) + 20-F 2025-05-15 ownership,"Class A Ordinary (ticker, trades direct on NYSE-American, NO ADS-false flag) O/S 4,645,749 post 1-for-25 reverse split (incl 1.47M pending NYSE-A issuance); excluded founder/CEO/Chair Norma Ka Yin Chu, her 23,309,275 pre-split Class A scaled /25 = 932,371; no other holder. DT 34.35/24.11 is post-May BTC-treasury dilution, divergent."
DOMO,2025-05-22,34.08,36.94,false,high,DEF 14A 2025-05-13 acc=0001505952-25-000062 cover+ownership (record date May 1 2025),"Ticker=Class B; Class B O/S 36,940,668 (Class A 3.26M super-voting is separate class held by founder, not in Class B O/S); excluded D&O group Class B 2,864,083 (7.7%, incl founder J.James Class B); kept all 5% holders BlackRock/Vanguard/Ameriprise/RPD-Okumus (passive 13G, <20%); float 34.08M >20M."
EBS,2025-05-08,53.7,54.278,false,high,10-Q cover + DEF 14A,"Emergent BioSolutions NORMAL single-class. O/S=54,277,827 (10-Q 2025-05-07). D&O"
EDBL,2025-05-21,1.62,1.66,true,low,10-Q 2025-05-15 acc=0001477932-25-003815 cover (O/S as of May 5),"Serial-diluter nano-cap; O/S 1,655,264 common per 10-Q cover (as of May 5 2025, post reverse splits); 5/21 8-K '1,999,200' and 5/14 events are warrants-to-purchase/Series B preferred NOT issued common; insiders negligible (D&O group ~39,074, <1%, stale Dec24 proxy); Armistice/Riverside capped at 9.99% blockers (kept passive). DT 8.77/8.6 is much-later post-dilution."
EHTH,2025-05-07,28.7,30.327,false,high,DEF 14A ownership table (common),"eHealth. Traded class = common O/S=30,326,646 (record date Apr 21 2025; proxy fi"
ELAN,2025-05-07,492.1,496.458,false,high,10-Q cover,"Elanco Animal Health large-cap single-class. O/S=496,458,420 (10-Q 2025-05-07). "
ELPW,2025-05-08,14.50,44.28,true,med,20-F 2024-11-27 acc=0001493152-24-048069 ownership + Feb-2025 13Gs (confirm 50.06M total unchanged),"Fresh China de-SPAC (TMT/Elong, closed 11/21/24); ticker=Class A; Class A O/S 44,278,677 (total ordinary 50.06M incl 5.78M Class B held by founder Liu/GRACEDAN); excluded 5 pre-IPO PRC rollover SPVs (Zibo 8.03M/Shenzhen Jinpenglong 6.70M/Xingzheng 6.62M/Jiupaiyuanjiang 4.72M/Pingtan 3.71M = 29.78M); D&O/Liu are Class B only. DT 6.04 is a data error."
ELSE,2025-05-13,1.66,3.449,true,high,10-Q cover + DEF 14A,"Electro-Sensors tiny single-class. O/S=3,449,021 (10-Q 2025-05-12). Peterson fam"
EOSE,2025-05-07,218.8,227.05,false,high,10-Q cover + DEF 14A,"Eos Energy large-cap. O/S=227,049,683 (10-Q 2025-05-06). D&O group 8,250,357 (3."
EPWK,2025-05-06,3.16,18.76,true,high,424B4 IPO Feb2025 + 6-K over-allot,Fresh China IPO Class A; offering 2.75M + full over-allotment 0.4125M (closed Feb21-2025) = 3.16M public float; post-IPO ClassA O/S 18.76M; ClassB 3.56M founder Huang (76.8% vote) excluded; 2.5M resale shares still in 180d lockup at as_of; DT float 3.39M matches
ETNB,2025-05-20,142.07,145.98,false,high,DEF 14A cover / 10-Q,"O/S 145,984,182 (DEF 14A 2025-04-15 cover and 10-Q 2025-05-02 agree). Excluded D"
EVTL,2025-05-27,17.46,84.60,true,med,20-F 2025-03-11 + 424B3 2025-05-16,"UK eVTOL de-SPAC; O/S 84.60M (Mar31-2025); excl Mudrick control 51.51M ord (has board-nom rights, 73.8% benef; converts/warrants not counted), founder Fitzpatrick/SF 15.49M ord, D&O group ex-options 0.14M = 67.14M; KEEP Saba Capital 8.33M (passive 13G); DT 2026 O/S 127M reflects later convert/ATM dilution"
EXOZ,2025-05-08,2.42,8.37,true,high,10-K cover / item12 table,"Tiny micro-cap; O/S 8,367,810 (10-K 2025-03-31). Excluded insiders' actual issue"
EYPT,2025-05-28,65.17,68.27,false,high,10-Q cover (current) / DEF 14A table,"Current O/S 68,266,005 (10-Q 2025-05-08); proxy showed 68,811,357. All 5% holder"
FBRX,2025-05-27,6.2,6.58,true,high,DEF 14A cover / 10-Q balance sheet,"O/S 6,583,382 (DEF 14A 2025-04-30; 10-Q balance sheet 6,581,667 as of 2025-03-31"
FCEL,2025-05-23,21.07,21.14,false,high,10-Q 2025-03-11 cover (Mar5) + DEF14A 2025-02-21,"US fuel-cell; O/S 21.14M (Mar5-2025, post 1-for-30 reverse split Nov2024 already baked in); excl D&O group ex-options 0.074M; KEEP BlackRock 1.17M + Legal&General 1.11M (passive 13G); no control block; DT 2026 O/S 52.98M reflects heavy later ATM dilution"
FLNC,2025-05-08,63.36,130.72,false,high,10-Q 2025-05-08 + DEF14A 2025-01-24,"Up-C multiclass; ClassA traded; ClassA O/S 130.72M (10-Q May8); excl 3 Stockholders-Agmt board-seat sponsors: Siemens 51.50M ClassA, Qatar/QIA 14.67M ClassA (board nominee Smith), D&O group ex-opt 1.19M = 67.36M; AES holds only ClassB-1 (0 ClassA); DT float 74.87M differs mainly if QIA kept (then ~78M)"
FMST,2025-05-28,9.56,10.34,true,med,424B3 2025-02-28 MD&A (O/S Feb12) + 20-F 2024-07-01 ownership,"Canadian lithium micro-cap, trades common directly (ADS flag FALSE POS, no division); O/S 10.34M (Feb12-2025, latest count <=as_of; up from 5.46M Mar2024 via offerings); excl D&O group ex-options/warrants dedup ~0.78M (Barnards control via Claimbank/Ora); no other 5pct holders; float ~9.56M clearly <20M; DT 2026 O/S 16.39M reflects further dilution"
FNGR,2025-05-13,52.43,57.14,false,high,DEF 14A cover (2025-01-30),"O/S 57,141,186 (DEF 14A 2025-01-30; consistent across proxy; 10-Q 2025-01-14 sho"
FNKO,2025-05-12,40.03,54.29,false,high,10-Q 2025-05-08 cover + DEF14A 2025-04-30 table,"Class A traded; current Class A O/S 54.287M (10-Q as of 5/6/25); excluded D&O group 1.73M + TCG 3.0 Fuji 12.53M (23.1%, 13D control); kept passive 13G holders Cooper Creek/Working Capital/Fund Investments."
FSLY,2025-05-08,135.16,144.8,false,high,10-Q 2025-05-07 cover + DEF14A 2025-04-23 table,Class A; current O/S 144.8M (10-Q as of 4/30/25); excluded only D&O group 9.64M; kept all 5% holders Vanguard/BlackRock/Legal&General (passive 13G); no control affiliate.
FTK,2025-05-07,11.85,29.83,true,high,DEF14A 2025-04-02 table + 10-K 2025-03-12 cover,"Single-class common; O/S 29.83M as of 3/20/25 (post 1-for-X reverse split); excluded D&O group 0.73M + ProFrac Holdings 17.24M (53.87%, 13D control); no passive >5% holders present."
ICCC,2025-05-21,8.46,8.98,true,high,DEF 14A ownership + 10-Q cover (current O/S),"O/S 8,982,623 (10-Q 2025-05-14). Excl D&O group 518,839. Pessin family 13.1%, Ro"
IDN,2025-05-23,18.45,19.82,true,high,DEF 14A item; 10-Q current O/S,"O/S 19,816,043 (confirmed 10-Q 2025-05-13). Excl D&O group 1,363,264. Clear Harb"
IMCC,2025-05-30,2.08,3.37,true,med,6-K 2025-05-27 acc 0001178913-25-001956 (early-warning post-Focus Txn) + 20-F,"Current O/S 3,366,971 Common Shares post Focus Transaction closed 2025-05-26 (was 3,085,452 in 20-F); excluded co-founder control block 1,288,032 undiluted = Shuster 769,507 + Gabay 389,682 + Ewave 128,843 (joint actors, counted once); IMCC trades Common Shares directly on Nasdaq, NOT ADS; no other large non-passive holder."
INFA,2025-05-23,103.9,257.67,false,high,DEF14A 2025-04-28 acc + 10-Q 2025-05-08,"Class A (traded) O/S 257,674,620; excluded Permira Funds 82.24M + CPP Investments 64.38M (sponsor control groups w/ board seats + Class B super-voting) + D&O group 7.15M; KEPT Wellington 13.16M (passive 13G); multi-class, only Class A counted."
INHD,2025-05-12,4.21,4.41,true,high,DEF 14A + 10-Q current O/S,"O/S 4,410,482 (10-Q 2025-05-02). Excl D&O Ding Wei 150,000 + Shao 51,355 (~201,3"
ISPO,2025-05-30,6.73,12.44,true,med,DEF14A 2025-04-24 + 10-Q 2025-05-08 acc 0001820566-25-000063,"Class A O/S 12,440,577 (post 20:1 reverse split; incl 2,857,635 Class B->A mandatory exchange, no Class B left); excluded D&O group ex-derivatives ~4.71M (Zamani control 4.42M actual ex-3.06M warrants) + co-founder Brent Handler 1.01M; KEPT Stoney Lonesome HF 0.92M + Kleiner Perkins 0.59M (passive 13D, no board seat); if those 2 excluded float ~5.21M (matches DT 5.24M)."
ITOS,2025-05-13,30.91,36.57,false,high,DEF 14A + 10-Q current O/S,"Biotech. O/S 36,568,043 (10-Q 2025-04-28). Excl D&O group 5,656,133. MPM Capital"
JOBY,2025-05-28,,791.8,false,high,10-Q current O/S + 8-K dilution,"O/S 791,798,076 (10-Q 2025-05-07) plus 8-K 2025-05-27 issued 99.4M more. Excl D&"
JTAI,2025-05-27,2.52,2.55,true,high,10-Q 2025-05-15 acc 0001641172-25-010861 + 10-K 2025-03-26 ownership,"Current O/S 2,551,256 (As of May 13 2025; post 1-for-225 reverse split eff 2024-11-12 + multiple offerings); excluded D&O group ~31K actual shares (Winston 29,740 + others ex-options, group beneficial 40,067); Ionic Ventures 242,730 are convertible-note conversion shares NOT outstanding (not excluded); old SPAC sponsor OAC diluted below 5%; nearly all float."
KE,2025-05-07,23.87,24.38,false,high,DEF 14A ownership + 10-Q cover current O/S,"Kimball Electronics. O/S 24,380,394 (10-Q cover as of 4/23/25). Excl D&O group 5"
KIDZ,2025-05-02,16.2,16.74,true,low,10-K 2025-04-29 acc 0001929980-25-000325 cover + 13D/13G + 424B3,"Classover de-SPAC (BFAC merger ~Apr 2025); traded class is Class B Common Stock (KIDZ) O/S 16,743,342 as of Apr 28 (grew from 5.96M at closing via preferred/note conversions); founder/CEO Hui Luo controls via 6.535M Class A separate class (not in Class B float) + locked to 2026; excluded insider Class B ~0.46M (Peng Yanling); KEPT 13G passive 2.91M + note-investor conversion shares; DT 7.94M reflects superseded closing-era count."
KINS,2025-05-09,12.38,13.73,true,high,DEF 14A ownership + 10-K current O/S,"O/S 13,730,802 (10-K 2025-03-18). Excl D&O group 1,353,310. Goldstein 7.4%, Fort"
KOSS,2025-05-20,4.88,9.38,true,high,DEF 14A ownership + 10-Q current O/S,"Koss Corp family-controlled. O/S 9,375,795 (10-Q 2025-05-08). Excl D&O group 4,4"
KRNT,2025-05-14,44.9,45.33,false,high,20-F 2025-03-27 acc 0001013762-25-003018,"O/S 45,327,503 ordinary shares (excl 5,773,222 treasury) as of Feb 28 2025; KRNT trades ordinary shares directly on Nasdaq, NOT ADS (ADS signal is false positive, no division); D&O group <1% (negligible, ~<0.45M) excluded; ALL 5% holders are passive 13G/13F (Morgan Stanley 3.56M, Artisan 3.33M, Senvest 4.23M, Chicago Capital 2.49M) KEPT."
LAES,2025-05-22,108.5,114.51,false,med,424B5 2025-05-06 acc 0001193805-25-000612 + 20-F,"Current O/S 114,508,901 Ordinary Shares (104,508,901 as of May 5 + 10M from May 6 424B5 offering closed); LAES/SEALSQ trades Ordinary Shares directly on Nasdaq, NOT ADS (signal is false positive, no division); excluded parent WISeKey 6,001,200 ordinary (control, 52.86% voting via Class F); active 00M ATM launched May 19 may add more by May 22 (unquantified); DT 222.77M is a year of later ATM dilution."
LICN,2025-05-12,0.715,0.717,true,high,"20-F 2025-04-28 (FY24), post 1:200 reverse split","Current O/S=716,825 Class A (traded class) per 20-F dated 2025-04-28, post-Feb/Mar-2025 1:200 reverse split; excluded D&O group 1,551 Class A; Class B (45,000, Ya Li/Silver Sky control) is a separate non-traded class; not an ADS (Class A ordinary trades directly on Nasdaq); DT 16.33M O/S reflects post-May-2025 dilution."
LION,2025-05-07,200.0,280.0,false,high,S-1/A pro forma + 8-K12B listing,"Lionsgate Studios Corp (New Lionsgate), NYSE common shares. Listed via reorganiz"
LITM,2025-05-28,7.78,7.82,true,med,6-K 04-30/05-02 1:13 reverse split + 424B5 04-17 O/S,"Snow Lake Resources (Canadian, common shares NOT ADS); O/S=7.82M post 1-for-13 reverse split effective 2025-05-02 (101.7M pre-split per 424B5 04-17 div 13 = 7.82M); Nova Minerals divested to 0% per 13D/A 01-02-2025; excluded residual D&O group ~0.04M (524,882 pre-split div 13, mostly options/RSUs); essentially all-public micro-cap."
LIVE,2025-05-08,1.49,3.131,true,high,10-Q cover (current) + DEF 14A table,"Live Ventures, US. 10-Q 2025-05-08 current common O/S 3,131,360. Jon Isaac contr"
LPA,2025-05-22,3.18,31.62,true,high,20-F 2025-04-02 + 424B3 05-06 O/S (de-SPAC),"Logistic Properties of the Americas de-SPAC, Ordinary Shares NOT ADS; O/S=31.62M outstanding as of Apr 25 2025 per 424B3 05-06 (resale registration, not new issuance); excluded JREP/Latam/Jaguar control block 26.312M (=Thomas McDonald D&O group, same shares) + HC PropTech sponsor (Hennessy) 2.131M; float 3.18M; matches DT 3.34M."
LPCN,2025-05-16,5.0,5.35,true,high,DEF 14A (24d) + 10-Q current,"Lipocine, US. O/S 5,350,356 confirmed by both DEF 14A 2025-04-22 and 10-Q 2025-0"
LTBR,2025-05-23,22.0,22.98,false,high,S-3 cover (current O/S) + DEF 14A table,"Lightbridge Corp, US. S-3 2025-05-23 cover: 22,980,895 common O/S (grew via offe"
LTRN,2025-05-07,9.9,10.78,true,high,10-K cover (current) + DEF 14A table (stale),"Lantern Pharma, US. 10-K 2025-03-27: 10,784,725 common O/S. Entire O/S only ~10."
LUNR,2025-05-13,107.7,117.33,false,med,"10-Q 2025-05-13 cover (Class A, as of May 8 2025)","Intuitive Machines Up-C de-SPAC; LUNR=Class A traded class, O/S Class A=117.33M (as of 2025-05-08); Class C (61.3M founder OpCo-unit control class, Ghaffarian/Altemus/Crain) not traded and excluded from Class A basis; subtracted D&O-group Class A 9.63M (incl some RSUs/pref-conversion; real held ~5M); float ~108-112M well above 20M; DT 135M counts a broader basis."
LYFT,2025-05-09,407.5,412.11,false,high,10-Q 2025-05-08 cover + 2025 DEFC14A ownership,"Lyft Class A is the traded class; O/S Class A=412.11M (as of May 5 2025 per 10-Q); excluded D&O group Class A 4.65M; founder Class B 8.53M (Green/Zimmer, 20-vote control class) is separate non-traded; KEPT passive Vanguard 32.1M & Fidelity 30.6M; float ~407.5M, far above 20M."
MAXN,2025-05-13,6.85,16.90,true,high,20-F 2025-04-30 (FY24) + 13D/A 04-10; post 1:100 reverse split,"Maxeon Solar (Singapore, ordinary shares NOT ADS); current O/S=16.90M outstanding as of Apr 21 2025 (already reflects 1-for-100 reverse split); excluded TZE/Zhonghuan Singapore control block 9.96M (59.0%, per 13D/A) + D&O individuals ~0.085M; float 6.85M; matches DT 6.73M."
