ticker,as_of,float_M,os_M,confidence,basis,computed_at,note
EXOZ,2025-05-08,2.42,8.37,high,10-K cover / item12 table,2026-06-24T18:27:23,"Tiny micro-cap; O/S 8,367,810 (10-K 2025-03-31). Excluded insiders' actual issue"
EYPT,2025-05-28,65.17,68.27,high,10-Q cover (current) / DEF 14A table,2026-06-24T18:27:23,"Current O/S 68,266,005 (10-Q 2025-05-08); proxy showed 68,811,357. All 5% holder"
FBRX,2025-05-27,6.2,6.58,high,DEF 14A cover / 10-Q balance sheet,2026-06-24T18:27:23,"O/S 6,583,382 (DEF 14A 2025-04-30; 10-Q balance sheet 6,581,667 as of 2025-03-31"
FCEL,2025-05-23,21.07,21.14,high,10-Q 2025-03-11 cover (Mar5) + DEF14A 2025-02-21,2026-06-24T18:27:23,"US fuel-cell; O/S 21.14M (Mar5-2025, post 1-for-30 reverse split Nov2024 already baked in); excl D&O group ex-options 0.074M; KEEP BlackRock 1.17M + Legal&General 1.11M (passive 13G); no control block; DT 2026 O/S 52.98M reflects heavy later ATM dilution"
FLNC,2025-05-08,63.36,130.72,high,10-Q 2025-05-08 + DEF14A 2025-01-24,2026-06-24T18:27:23,"Up-C multiclass; ClassA traded; ClassA O/S 130.72M (10-Q May8); excl 3 Stockholders-Agmt board-seat sponsors: Siemens 51.50M ClassA, Qatar/QIA 14.67M ClassA (board nominee Smith), D&O group ex-opt 1.19M = 67.36M; AES holds only ClassB-1 (0 ClassA); DT float 74.87M differs mainly if QIA kept (then ~78M)"
FMST,2025-05-28,9.56,10.34,med,424B3 2025-02-28 MD&A (O/S Feb12) + 20-F 2024-07-01 ownership,2026-06-24T18:27:23,"Canadian lithium micro-cap, trades common directly (ADS flag FALSE POS, no division); O/S 10.34M (Feb12-2025, latest count <=as_of; up from 5.46M Mar2024 via offerings); excl D&O group ex-options/warrants dedup ~0.78M (Barnards control via Claimbank/Ora); no other 5pct holders; float ~9.56M clearly <20M; DT 2026 O/S 16.39M reflects further dilution"
FNGR,2025-05-13,52.43,57.14,high,DEF 14A cover (2025-01-30),2026-06-24T18:27:23,"O/S 57,141,186 (DEF 14A 2025-01-30; consistent across proxy; 10-Q 2025-01-14 sho"
FNKO,2025-05-12,40.03,54.29,high,10-Q 2025-05-08 cover + DEF14A 2025-04-30 table,2026-06-24T18:27:23,"Class A traded; current Class A O/S 54.287M (10-Q as of 5/6/25); excluded D&O group 1.73M + TCG 3.0 Fuji 12.53M (23.1%, 13D control); kept passive 13G holders Cooper Creek/Working Capital/Fund Investments."
FSLY,2025-05-08,135.16,144.8,high,10-Q 2025-05-07 cover + DEF14A 2025-04-23 table,2026-06-24T18:27:23,Class A; current O/S 144.8M (10-Q as of 4/30/25); excluded only D&O group 9.64M; kept all 5% holders Vanguard/BlackRock/Legal&General (passive 13G); no control affiliate.
FTK,2025-05-07,11.85,29.83,high,DEF14A 2025-04-02 table + 10-K 2025-03-12 cover,2026-06-24T18:27:23,"Single-class common; O/S 29.83M as of 3/20/25 (post 1-for-X reverse split); excluded D&O group 0.73M + ProFrac Holdings 17.24M (53.87%, 13D control); no passive >5% holders present."
ICCC,2025-05-21,8.46,8.98,high,DEF 14A ownership + 10-Q cover (current O/S),2026-06-24T18:27:23,"O/S 8,982,623 (10-Q 2025-05-14). Excl D&O group 518,839. Pessin family 13.1%, Ro"
IDN,2025-05-23,18.45,19.82,high,DEF 14A item; 10-Q current O/S,2026-06-24T18:27:23,"O/S 19,816,043 (confirmed 10-Q 2025-05-13). Excl D&O group 1,363,264. Clear Harb"
IMCC,2025-05-30,2.08,3.37,med,6-K 2025-05-27 acc 0001178913-25-001956 (early-warning post-Focus Txn) + 20-F,2026-06-24T18:27:23,"Current O/S 3,366,971 Common Shares post Focus Transaction closed 2025-05-26 (was 3,085,452 in 20-F); excluded co-founder control block 1,288,032 undiluted = Shuster 769,507 + Gabay 389,682 + Ewave 128,843 (joint actors, counted once); IMCC trades Common Shares directly on Nasdaq, NOT ADS; no other large non-passive holder."
INFA,2025-05-23,103.9,257.67,high,DEF14A 2025-04-28 acc + 10-Q 2025-05-08,2026-06-24T18:27:23,"Class A (traded) O/S 257,674,620; excluded Permira Funds 82.24M + CPP Investments 64.38M (sponsor control groups w/ board seats + Class B super-voting) + D&O group 7.15M; KEPT Wellington 13.16M (passive 13G); multi-class, only Class A counted."
INHD,2025-05-12,4.21,4.41,high,DEF 14A + 10-Q current O/S,2026-06-24T18:27:23,"O/S 4,410,482 (10-Q 2025-05-02). Excl D&O Ding Wei 150,000 + Shao 51,355 (~201,3"
ISPO,2025-05-30,6.73,12.44,med,DEF14A 2025-04-24 + 10-Q 2025-05-08 acc 0001820566-25-000063,2026-06-24T18:27:23,"Class A O/S 12,440,577 (post 20:1 reverse split; incl 2,857,635 Class B->A mandatory exchange, no Class B left); excluded D&O group ex-derivatives ~4.71M (Zamani control 4.42M actual ex-3.06M warrants) + co-founder Brent Handler 1.01M; KEPT Stoney Lonesome HF 0.92M + Kleiner Perkins 0.59M (passive 13D, no board seat); if those 2 excluded float ~5.21M (matches DT 5.24M)."
ITOS,2025-05-13,30.91,36.57,high,DEF 14A + 10-Q current O/S,2026-06-24T18:27:23,"Biotech. O/S 36,568,043 (10-Q 2025-04-28). Excl D&O group 5,656,133. MPM Capital"
JOBY,2025-05-28,,791.8,high,10-Q current O/S + 8-K dilution,2026-06-24T18:27:23,"O/S 791,798,076 (10-Q 2025-05-07) plus 8-K 2025-05-27 issued 99.4M more. Excl D&"
JTAI,2025-05-27,2.52,2.55,high,10-Q 2025-05-15 acc 0001641172-25-010861 + 10-K 2025-03-26 ownership,2026-06-24T18:27:23,"Current O/S 2,551,256 (As of May 13 2025; post 1-for-225 reverse split eff 2024-11-12 + multiple offerings); excluded D&O group ~31K actual shares (Winston 29,740 + others ex-options, group beneficial 40,067); Ionic Ventures 242,730 are convertible-note conversion shares NOT outstanding (not excluded); old SPAC sponsor OAC diluted below 5%; nearly all float."
KE,2025-05-07,23.87,24.38,high,DEF 14A ownership + 10-Q cover current O/S,2026-06-24T18:27:23,"Kimball Electronics. O/S 24,380,394 (10-Q cover as of 4/23/25). Excl D&O group 5"
KIDZ,2025-05-02,16.2,16.74,low,10-K 2025-04-29 acc 0001929980-25-000325 cover + 13D/13G + 424B3,2026-06-24T18:27:23,"Classover de-SPAC (BFAC merger ~Apr 2025); traded class is Class B Common Stock (KIDZ) O/S 16,743,342 as of Apr 28 (grew from 5.96M at closing via preferred/note conversions); founder/CEO Hui Luo controls via 6.535M Class A separate class (not in Class B float) + locked to 2026; excluded insider Class B ~0.46M (Peng Yanling); KEPT 13G passive 2.91M + note-investor conversion shares; DT 7.94M reflects superseded closing-era count."
KINS,2025-05-09,12.38,13.73,high,DEF 14A ownership + 10-K current O/S,2026-06-24T18:27:23,"O/S 13,730,802 (10-K 2025-03-18). Excl D&O group 1,353,310. Goldstein 7.4%, Fort"
KOSS,2025-05-20,4.88,9.38,high,DEF 14A ownership + 10-Q current O/S,2026-06-24T18:27:23,"Koss Corp family-controlled. O/S 9,375,795 (10-Q 2025-05-08). Excl D&O group 4,4"
KRNT,2025-05-14,44.9,45.33,high,20-F 2025-03-27 acc 0001013762-25-003018,2026-06-24T18:27:23,"O/S 45,327,503 ordinary shares (excl 5,773,222 treasury) as of Feb 28 2025; KRNT trades ordinary shares directly on Nasdaq, NOT ADS (ADS signal is false positive, no division); D&O group <1% (negligible, ~<0.45M) excluded; ALL 5% holders are passive 13G/13F (Morgan Stanley 3.56M, Artisan 3.33M, Senvest 4.23M, Chicago Capital 2.49M) KEPT."
LAES,2025-05-22,108.5,114.51,med,424B5 2025-05-06 acc 0001193805-25-000612 + 20-F,2026-06-24T18:27:23,"Current O/S 114,508,901 Ordinary Shares (104,508,901 as of May 5 + 10M from May 6 424B5 offering closed); LAES/SEALSQ trades Ordinary Shares directly on Nasdaq, NOT ADS (signal is false positive, no division); excluded parent WISeKey 6,001,200 ordinary (control, 52.86% voting via Class F); active 00M ATM launched May 19 may add more by May 22 (unquantified); DT 222.77M is a year of later ATM dilution."
LICN,2025-05-12,0.715,0.717,high,"20-F 2025-04-28 (FY24), post 1:200 reverse split",2026-06-24T18:27:23,"Current O/S=716,825 Class A (traded class) per 20-F dated 2025-04-28, post-Feb/Mar-2025 1:200 reverse split; excluded D&O group 1,551 Class A; Class B (45,000, Ya Li/Silver Sky control) is a separate non-traded class; not an ADS (Class A ordinary trades directly on Nasdaq); DT 16.33M O/S reflects post-May-2025 dilution."
LION,2025-05-07,200.0,280.0,high,S-1/A pro forma + 8-K12B listing,2026-06-24T18:27:23,"Lionsgate Studios Corp (New Lionsgate), NYSE common shares. Listed via reorganiz"
LITM,2025-05-28,7.78,7.82,med,6-K 04-30/05-02 1:13 reverse split + 424B5 04-17 O/S,2026-06-24T18:27:23,"Snow Lake Resources (Canadian, common shares NOT ADS); O/S=7.82M post 1-for-13 reverse split effective 2025-05-02 (101.7M pre-split per 424B5 04-17 div 13 = 7.82M); Nova Minerals divested to 0% per 13D/A 01-02-2025; excluded residual D&O group ~0.04M (524,882 pre-split div 13, mostly options/RSUs); essentially all-public micro-cap."
LIVE,2025-05-08,1.49,3.131,high,10-Q cover (current) + DEF 14A table,2026-06-24T18:27:23,"Live Ventures, US. 10-Q 2025-05-08 current common O/S 3,131,360. Jon Isaac contr"
